NAICS6_IO,SCTG,naics,naics_desc,NAICS6_Make_desc,SCTG_desc,Prop
112A00,1,112410,Sheep Farming,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112A00,1,112420,Goat Farming,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112A00,1,112511,Finfish Farming and Fish Hatcheries,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112A00,1,112512,Shellfish Farming,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112A00,1,112519,Other Aquaculture,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112A00,1,112910,Apiculture,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112A00,1,112920,Horses and Other Equine Production,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112A00,1,112930,Fur-Bearing Animal and Rabbit Production,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
112A00,1,112990,All Other Animal Production,"Animal production, except cattle and poultry and eggs",Live animals/fish,1
113000,25,113110,Timber Tract Operations,Forestry and logging,Logs,1
113000,25,113210,Forest Nurseries and Gathering of Forest Products,Forestry and logging,Logs,1
113000,25,113310,Logging,Forestry and logging,Logs,1
114000,5,114111,Finfish Fishing,"Fishing, hunting and trapping",Meat/seafood,1
114000,5,114112,Shellfish Fishing,"Fishing, hunting and trapping",Meat/seafood,1
114000,5,114119,Other Marine Fishing,"Fishing, hunting and trapping",Meat/seafood,1
114000,5,114210,Hunting and Trapping,"Fishing, hunting and trapping",Meat/seafood,1
115000,0,115111,Cotton Ginning,Support activities for agriculture and forestry,NA,0
115000,0,115112,"Soil Preparation, Planting, and Cultivating",Support activities for agriculture and forestry,NA,0
115000,0,115113,"Crop Harvesting, Primarily by Machine",Support activities for agriculture and forestry,NA,0
115000,0,115114,Postharvest Crop Activities (except Cotton Ginning),Support activities for agriculture and forestry,NA,0
115000,0,115115,Farm Labor Contractors and Crew Leaders,Support activities for agriculture and forestry,NA,0
115000,0,115116,Farm Management Services,Support activities for agriculture and forestry,NA,0
115000,0,115210,Support Activities for Animal Production,Support activities for agriculture and forestry,NA,0
115000,0,115310,Support Activities for Forestry,Support activities for agriculture and forestry,NA,0
211000,16,211111,Crude Petroleum and Natural Gas Extraction,Oil and gas extraction,Crude petroleum,0.5
211000,20,211112,Natural Gas Liquid Extraction,Oil and gas extraction,Basic chemicals,0.5
212100,15,212111,Bituminous Coal and Lignite Surface Mining,Coal mining,Coal,1
212100,15,212112,Bituminous Coal Underground Mining,Coal mining,Coal,1
212100,15,212113,Anthracite Mining,Coal mining,Coal,1
2122A0,14,212210,Iron Ore Mining,"Iron, gold, silver, and other metal ore mining",Metallic ores,1
2122A0,14,212221,Gold Ore Mining,"Iron, gold, silver, and other metal ore mining",Metallic ores,1
2122A0,14,212222,Silver Ore Mining,"Iron, gold, silver, and other metal ore mining",Metallic ores,1
212230,14,212231,Lead Ore and Zinc Ore Mining,"Copper, nickel, lead, and zinc mining",Metallic ores,1
212230,14,212234,Copper Ore and Nickel Ore Mining,"Copper, nickel, lead, and zinc mining",Metallic ores,1
2122A0,14,212291,Uranium-Radium-Vanadium Ore Mining,"Iron, gold, silver, and other metal ore mining",Metallic ores,1
2122A0,14,212299,All Other Metal Ore Mining,"Iron, gold, silver, and other metal ore mining",Metallic ores,1
212310,10,212311,Dimension Stone Mining and Quarrying,Stone mining and quarrying,Building stone,0.5
212310,12,212312,Crushed and Broken Limestone Mining and Quarrying,Stone mining and quarrying,Gravel,0.5
212310,12,212313,Crushed and Broken Granite Mining and Quarrying,Stone mining and quarrying,Gravel,0.5
212310,12,212319,Other Crushed and Broken Stone Mining and Quarrying,Stone mining and quarrying,Gravel,0.5
2123A0,12,212321,Construction Sand and Gravel Mining,Other nonmetallic mineral mining and quarrying,Gravel,0.25
2123A0,11,212322,Industrial Sand Mining,Other nonmetallic mineral mining and quarrying,Natural sands,0.25
2123A0,13,212324,Kaolin and Ball Clay Mining,Other nonmetallic mineral mining and quarrying,Nonmetallic minerals,0.25
2123A0,13,212325,Clay and Ceramic and Refractory Minerals Mining,Other nonmetallic mineral mining and quarrying,Nonmetallic minerals,0.25
2123A0,22,212391,"Potash, Soda, and Borate Mineral Mining",Other nonmetallic mineral mining and quarrying,Fertilizers,0.25
2123A0,13,212392,Phosphate Rock Mining,Other nonmetallic mineral mining and quarrying,Nonmetallic minerals,0.25
2123A0,13,212393,Other Chemical and Fertilizer Mineral Mining,Other nonmetallic mineral mining and quarrying,Nonmetallic minerals,0.25
2123A0,12,212399,All Other Nonmetallic Mineral Mining,Other nonmetallic mineral mining and quarrying,Gravel,0.25
213111,0,213111,Drilling Oil and Gas Wells,Drilling oil and gas wells,NA,0
21311A,0,213112,Support Activities for Oil and Gas Operations,Other support activities for mining,NA,0
21311A,0,213113,Support Activities for Coal Mining,Other support activities for mining,NA,0
21311A,0,213114,Support Activities for Metal Mining,Other support activities for mining,NA,0
21311A,0,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,Other support activities for mining,NA,0
221100,0,221111,Hydroelectric Power Generation,"Electric power generation, transmission, and distribution",NA,0
221100,0,221112,Fossil Fuel Electric Power Generation,"Electric power generation, transmission, and distribution",NA,0
221100,0,221113,Nuclear Electric Power Generation,"Electric power generation, transmission, and distribution",NA,0
221100,0,221119,Other Electric Power Generation - solar electric power generation,"Electric power generation, transmission, and distribution",NA,0
221100,0,221121,Electric Bulk Power Transmission and Control,"Electric power generation, transmission, and distribution",NA,0
221100,0,221122,Electric Power Distribution,"Electric power generation, transmission, and distribution",NA,0
221200,0,221210,Natural Gas Distribution,Natural gas distribution,NA,0
221300,0,221310,Water Supply and Irrigation Systems,"Water, sewage and other systems",NA,0
221300,0,221320,Sewage Treatment Facilities,"Water, sewage and other systems",NA,0
221300,0,221330,Steam and Air-Conditioning Supply,"Water, sewage and other systems",NA,0
230301,0,236115,New Single-Family Housing Construction (except Operative Builders),Nonresidential maintenance and repair,NA,0
230301,0,236116,New Multifamily Housing Construction (except Operative Builders),Nonresidential maintenance and repair,NA,0
230301,0,236117,New Housing Operative Builders,Nonresidential maintenance and repair,NA,0
230301,0,236118,Residential Remodelers,Nonresidential maintenance and repair,NA,0
230301,0,236210,Industrial Building Construction,Nonresidential maintenance and repair,NA,0
230301,0,236220,Commercial and Institutional Building Construction,Nonresidential maintenance and repair,NA,0
230301,0,237110,Water and Sewer Line and Related Structures Construction,Nonresidential maintenance and repair,NA,0
230301,0,237120,Oil and Gas Pipeline and Related Structures Construction,Nonresidential maintenance and repair,NA,0
230301,0,237130,Power and Communication Line and Related Structures Construction,Nonresidential maintenance and repair,NA,0
230301,0,237210,Land Subdivision,Nonresidential maintenance and repair,NA,0
230301,0,237310,"Highway, Street, and Bridge Construction",Nonresidential maintenance and repair,NA,0
230301,0,237990,Other Heavy and Civil Engineering Construction,Nonresidential maintenance and repair,NA,0
230301,0,238110,Poured Concrete Foundation and Structure Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238120,Structural Steel and Precast Concrete Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238130,Framing Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238140,Masonry Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238150,Glass and Glazing Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238160,Roofing Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238170,Siding Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238190,"Other Foundation, Structure, and Building Exterior Contractors - except building fireproofing contractors",Nonresidential maintenance and repair,NA,0
230301,0,238210,Electrical Contractors and Other Wiring Installation Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Nonresidential maintenance and repair,NA,0
230301,0,238290,Other Building Equipment Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238310,Drywall and Insulation Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238320,Painting and Wall Covering Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238330,Flooring Contractors - fireproof flooring construction contractors,Nonresidential maintenance and repair,NA,0
230301,0,238340,Tile and Terrazzo Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238350,Finish Carpentry Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238390,Other Building Finishing Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238910,Site Preparation Contractors,Nonresidential maintenance and repair,NA,0
230301,0,238990,All Other Specialty Trade Contractors,Nonresidential maintenance and repair,NA,0
311111,4,311111,Dog and Cat Food Manufacturing,Dog and cat food manufacturing,Animal feed,1
311119,4,311119,Other Animal Food Manufacturing,Other animal food manufacturing,Animal feed,1
311210,6,311211,Flour Milling,Flour milling and malt manufacturing,Milled grain prods.,1
311210,6,311212,Rice Milling,Flour milling and malt manufacturing,Milled grain prods.,1
311210,6,311213,Malt Manufacturing,Flour milling and malt manufacturing,Milled grain prods.,1
311221,4,311221,Wet Corn Milling,Wet corn milling,Animal feed,1
31122A,7,311222,Soybean Processing,Soybean and other oilseed processing,Other foodstuffs,0.5
31122A,3,311223,Other Oilseed Processing,Soybean and other oilseed processing,Other ag prods.,0.5
311225,7,311225,Fats and Oils Refining and Blending,Fats and oils refining and blending,Other foodstuffs,1
311230,6,311230,Breakfast Cereal Manufacturing,Breakfast cereal manufacturing,Milled grain prods.,1
311300,7,311311,Sugarcane Mills,Sugar and confectionery product manufacturing,Other foodstuffs,1
311300,7,311312,Cane Sugar Refining,Sugar and confectionery product manufacturing,Other foodstuffs,1
311300,7,311313,Beet Sugar Manufacturing,Sugar and confectionery product manufacturing,Other foodstuffs,1
311300,7,311320,Chocolate and Confectionery Manufacturing from Cacao Beans,Sugar and confectionery product manufacturing,Other foodstuffs,1
311300,7,311330,Confectionery Manufacturing from Purchased Chocolate,Sugar and confectionery product manufacturing,Other foodstuffs,1
311300,7,311340,Nonchocolate Confectionery Manufacturing,Sugar and confectionery product manufacturing,Other foodstuffs,1
311410,7,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Frozen food manufacturing,Other foodstuffs,1
311410,7,311412,Frozen Specialty Food Manufacturing,Frozen food manufacturing,Other foodstuffs,1
311420,7,311421,Fruit and Vegetable Canning,"Fruit and vegetable canning, pickling, and drying",Other foodstuffs,1
311420,7,311422,Specialty Canning,"Fruit and vegetable canning, pickling, and drying",Other foodstuffs,1
311420,7,311423,Dried and Dehydrated Food Manufacturing,"Fruit and vegetable canning, pickling, and drying",Other foodstuffs,1
31151A,7,311511,Fluid Milk Manufacturing,Fluid milk and butter manufacturing,Other foodstuffs,1
31151A,7,311512,Creamery Butter Manufacturing,Fluid milk and butter manufacturing,Other foodstuffs,1
311513,7,311513,Cheese Manufacturing,Cheese manufacturing,Other foodstuffs,1
311514,5,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing","Dry, condensed, and evaporated dairy product manufacturing",Meat/seafood,1
311520,7,311520,Ice Cream and Frozen Dessert Manufacturing,Ice cream and frozen dessert manufacturing,Other foodstuffs,1
31161A,5,311611,Animal (except Poultry) Slaughtering,"Animal (except poultry) slaughtering, rendering, and processing",Meat/seafood,0.5
31161A,5,311612,Meat Processed from Carcasses,"Animal (except poultry) slaughtering, rendering, and processing",Meat/seafood,0.5
31161A,4,311613,Rendering and Meat Byproduct Processing,"Animal (except poultry) slaughtering, rendering, and processing",Animal feed,0.5
311615,5,311615,Poultry Processing,Poultry processing,Meat/seafood,1
311700,7,311711,Seafood Canning,Seafood product preparation and packaging,Other foodstuffs,0.5
311700,5,311712,Fresh and Frozen Seafood Processing,Seafood product preparation and packaging,Meat/seafood,0.5
311810,6,311811,Retail Bakeries,Bread and bakery product manufacturing,Milled grain prods.,1
311810,6,311812,Commercial Bakeries,Bread and bakery product manufacturing,Milled grain prods.,1
311810,6,311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",Bread and bakery product manufacturing,Milled grain prods.,1
3118A0,6,311821,Cookie and Cracker Manufacturing,"Cookie, cracker, pasta, and tortilla manufacturing",Milled grain prods.,1
3118A0,6,311822,Flour Mixes and Dough Manufacturing from Purchased Flour,"Cookie, cracker, pasta, and tortilla manufacturing",Milled grain prods.,1
3118A0,6,311823,Dry Pasta Manufacturing,"Cookie, cracker, pasta, and tortilla manufacturing",Milled grain prods.,1
3118A0,6,311830,Tortilla Manufacturing,"Cookie, cracker, pasta, and tortilla manufacturing",Milled grain prods.,1
311910,3,311911,Roasted Nuts and Peanut Butter Manufacturing,Snack food manufacturing,Other ag prods.,0.5
311910,7,311919,Other Snack Food Manufacturing,Snack food manufacturing,Other foodstuffs,0.5
311920,3,311920,Coffee and Tea Manufacturing,Coffee and tea manufacturing,Other ag prods.,1
311930,7,311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring syrup and concentrate manufacturing,Other foodstuffs,1
311940,7,311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",Seasoning and dressing manufacturing,Other foodstuffs,0.5
311940,23,311942,Spice and Extract Manufacturing,Seasoning and dressing manufacturing,Chemical prods.,0.5
311990,7,311991,Perishable Prepared Food Manufacturing,All other food manufacturing,Other foodstuffs,1
311990,7,311999,All Other Miscellaneous Food Manufacturing,All other food manufacturing,Other foodstuffs,1
312110,7,312111,Soft Drink Manufacturing,Soft drink and ice manufacturing,Other foodstuffs,1
312110,7,312112,Bottled Water Manufacturing,Soft drink and ice manufacturing,Other foodstuffs,1
312110,7,312113,Ice Manufacturing,Soft drink and ice manufacturing,Other foodstuffs,1
312120,8,312120,Breweries,Breweries,Alcoholic beverages,1
312130,8,312130,Wineries,Wineries,Alcoholic beverages,1
312140,8,312140,Distilleries,Distilleries,Alcoholic beverages,1
312200,9,312210,Tobacco Stemming and Redrying,Tobacco product manufacturing,Tobacco prods.,1
312200,9,312221,Cigarette Manufacturing,Tobacco product manufacturing,Tobacco prods.,1
312200,9,312229,Other Tobacco Product Manufacturing,Tobacco product manufacturing,Tobacco prods.,1
313100,3,313111,Yarn Spinning Mills,"Fiber, yarn, and thread mills",Other ag prods.,0.5
313100,30,313112,"Yarn Texturizing, Throwing, and Twisting Mills","Fiber, yarn, and thread mills",Textiles/leather,0.5
313100,30,313113,Thread Mills,"Fiber, yarn, and thread mills",Textiles/leather,0.5
313200,30,313210,Broadwoven Fabric Mills,Fabric mills,Textiles/leather,1
313200,30,313221,Narrow Fabric Mills,Fabric mills,Textiles/leather,1
313200,30,313222,Schiffli Machine Embroidery,Fabric mills,Textiles/leather,1
313200,30,313230,Nonwoven Fabric Mills,Fabric mills,Textiles/leather,1
313200,30,313241,Weft Knit Fabric Mills,Fabric mills,Textiles/leather,1
313200,30,313249,Other Knit Fabric and Lace Mills,Fabric mills,Textiles/leather,1
313300,30,313311,Broadwoven Fabric Finishing Mills,Textile and fabric finishing and fabric coating mills,Textiles/leather,0.5
313300,30,313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills,Textile and fabric finishing and fabric coating mills,Textiles/leather,0.5
313300,24,313320,Fabric Coating Mills,Textile and fabric finishing and fabric coating mills,Plastics/rubber,0.5
314110,30,314110,Carpet and Rug Mills,Carpet and rug mills,Textiles/leather,1
314120,30,314121,Curtain and Drapery Mills,Curtain and linen mills,Textiles/leather,1
314120,30,314129,Other Household Textile Product Mills,Curtain and linen mills,Textiles/leather,1
314900,30,314911,Textile Bag Mills,Other textile product mills,Textiles/leather,0.5
314900,30,314912,Canvas and Related Product Mills,Other textile product mills,Textiles/leather,0.5
314900,30,314991,"Rope, Cordage, and Twine Mills",Other textile product mills,Textiles/leather,0.5
314900,30,314992,Tire Cord and Tire Fabric Mills,Other textile product mills,Textiles/leather,0.5
314900,34,314999,All Other Miscellaneous Textile Product Mills,Other textile product mills,Machinery,0.5
315000,30,315111,Sheer Hosiery Mills,Apparel manufacturing,Textiles/leather,0.5
315000,30,315119,Other Hosiery and Sock Mills,Apparel manufacturing,Textiles/leather,0.5
315000,30,315191,Outerwear Knitting Mills,Apparel manufacturing,Textiles/leather,0.5
315000,30,315192,Underwear and Nightwear Knitting Mills,Apparel manufacturing,Textiles/leather,0.5
315000,24,315211,Men's and Boys' Cut and Sew Apparel Contractors,Apparel manufacturing,Plastics/rubber,0.5
315000,30,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors",Apparel manufacturing,Textiles/leather,0.5
315000,30,315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing",Apparel manufacturing,Textiles/leather,0.5
315000,30,315223,Men's and Boys' Cut and Sew Shirt (except Work Shirt) Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315224,"Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing",Apparel manufacturing,Textiles/leather,0.5
315000,30,315225,Men's and Boys' Cut and Sew Work Clothing Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315228,Men's and Boys' Cut and Sew Other Outerwear Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing",Apparel manufacturing,Textiles/leather,0.5
315000,30,315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315233,Women's and Girls' Cut and Sew Dress Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing",Apparel manufacturing,Textiles/leather,0.5
315000,30,315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315291,Infants' Cut and Sew Apparel Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315292,Fur and Leather Apparel Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315299,All Other Cut and Sew Apparel Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315991,"Hat, Cap, and Millinery Manufacturing",Apparel manufacturing,Textiles/leather,0.5
315000,30,315992,Glove and Mitten Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315993,Men's and Boys' Neckwear Manufacturing,Apparel manufacturing,Textiles/leather,0.5
315000,30,315999,Other Apparel Accessories and Other Apparel Manufacturing,Apparel manufacturing,Textiles/leather,0.5
316000,34,316110,Leather and Hide Tanning and Finishing,Leather and allied product manufacturing,Machinery,0.333333333
316000,30,316211,Rubber and Plastics Footwear Manufacturing,Leather and allied product manufacturing,Textiles/leather,0.333333333
316000,30,316212,House Slipper Manufacturing,Leather and allied product manufacturing,Textiles/leather,0.333333333
316000,30,316213,Men's Footwear (except Athletic) Manufacturing,Leather and allied product manufacturing,Textiles/leather,0.333333333
316000,30,316214,Women's Footwear (except Athletic) Manufacturing,Leather and allied product manufacturing,Textiles/leather,0.333333333
316000,30,316219,Other Footwear Manufacturing,Leather and allied product manufacturing,Textiles/leather,0.333333333
316000,30,316991,Luggage Manufacturing,Leather and allied product manufacturing,Textiles/leather,0.333333333
316000,24,316992,Women's Handbag and Purse Manufacturing,Leather and allied product manufacturing,Plastics/rubber,0.333333333
316000,30,316993,Personal Leather Good (except Women's Handbag and Purse) Manufacturing,Leather and allied product manufacturing,Textiles/leather,0.333333333
316000,30,316999,All Other Leather Good and Allied Product Manufacturing,Leather and allied product manufacturing,Textiles/leather,0.333333333
321100,26,321113,Sawmills,Sawmills and wood preservation,Wood prods.,0.5
321100,25,321114,Wood Preservation,Sawmills and wood preservation,Logs,0.5
321200,26,321211,Hardwood Veneer and Plywood Manufacturing,"Veneer, plywood, and engineered wood product manufacturing",Wood prods.,1
321200,26,321212,Softwood Veneer and Plywood Manufacturing,"Veneer, plywood, and engineered wood product manufacturing",Wood prods.,1
321200,26,321213,Engineered Wood Member (except Truss) Manufacturing,"Veneer, plywood, and engineered wood product manufacturing",Wood prods.,1
321200,26,321214,Truss Manufacturing,"Veneer, plywood, and engineered wood product manufacturing",Wood prods.,1
321200,26,321219,Reconstituted Wood Product Manufacturing,"Veneer, plywood, and engineered wood product manufacturing",Wood prods.,1
321910,26,321911,Wood Window and Door Manufacturing,Millwork,Wood prods.,1
321910,26,321912,"Cut Stock, Resawing Lumber, and Planing",Millwork,Wood prods.,1
321910,26,321918,Other Millwork (including Flooring),Millwork,Wood prods.,1
3219A0,26,321920,Wood Container and Pallet Manufacturing,All other wood product manufacturing,Wood prods.,0.333333333
3219A0,36,321991,Manufactured Home (Mobile Home) Manufacturing,All other wood product manufacturing,Motorized vehicles,0.333333333
3219A0,40,321992,Prefabricated Wood Building Manufacturing,All other wood product manufacturing,Misc. mfg. prods.,0.333333333
3219A0,26,321999,All Other Miscellaneous Wood Product Manufacturing,All other wood product manufacturing,Wood prods.,0.333333333
322110,27,322110,Pulp Mills,Pulp mills,Newsprint/paper,1
322120,27,322121,Paper (except Newsprint) Mills,Paper mills,Newsprint/paper,1
322120,27,322122,Newsprint Mills,Paper mills,Newsprint/paper,1
322130,27,322130,Paperboard Mills,Paperboard mills,Newsprint/paper,1
322210,24,322211,Corrugated and Solid Fiber Box Manufacturing,Paperboard container manufacturing,Plastics/rubber,0.5
322210,28,322212,Folding Paperboard Box Manufacturing,Paperboard container manufacturing,Paper articles,0.5
322210,28,322213,Setup Paperboard Box Manufacturing,Paperboard container manufacturing,Paper articles,0.5
322210,28,322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing",Paperboard container manufacturing,Paper articles,0.5
322210,28,322215,Nonfolding Sanitary Food Container Manufacturing,Paperboard container manufacturing,Paper articles,0.5
322220,28,322221,Coated and Laminated Packaging Paper Manufacturing,Paper bag and coated and treated paper manufacturing,Paper articles,0.25
322220,27,322222,Coated and Laminated Paper Manufacturing,Paper bag and coated and treated paper manufacturing,Newsprint/paper,0.25
322220,24,322223,Coated Paper Bag and Pouch Manufacturing,Paper bag and coated and treated paper manufacturing,Plastics/rubber,0.25
322220,28,322224,Uncoated Paper and Multiwall Bag Manufacturing,Paper bag and coated and treated paper manufacturing,Paper articles,0.25
322220,32,322225,Laminated Aluminum Foil Manufacturing for Flexible Packaging Uses,Paper bag and coated and treated paper manufacturing,Base metals,0.25
322220,28,322226,Surface-Coated Paperboard Manufacturing,Paper bag and coated and treated paper manufacturing,Paper articles,0.25
322230,28,322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing,Stationery product manufacturing,Paper articles,1
322230,28,322232,Envelope Manufacturing,Stationery product manufacturing,Paper articles,1
322230,28,322233,"Stationery, Tablet, and Related Product Manufacturing",Stationery product manufacturing,Paper articles,1
322291,34,322291,Sanitary Paper Product Manufacturing,Sanitary paper product manufacturing,Machinery,1
322299,28,322299,All Other Converted Paper Product Manufacturing,All other converted paper product manufacturing,Paper articles,1
323110,29,323110,Commercial Lithographic Printing,Printing,Printed prods.,0.5
323110,29,323111,Commercial Gravure Printing,Printing,Printed prods.,0.5
323110,29,323112,Commercial Flexographic Printing,Printing,Printed prods.,0.5
323110,39,323113,Commercial Screen Printing,Printing,Furniture,0.5
323110,29,323114,Quick Printing,Printing,Printed prods.,0.5
323110,29,323115,Digital Printing,Printing,Printed prods.,0.5
323110,29,323116,Manifold Business Forms Printing,Printing,Printed prods.,0.5
323110,29,323117,Books Printing,Printing,Printed prods.,0.5
323110,29,323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing",Printing,Printed prods.,0.5
323110,29,323119,Other Commercial Printing,Printing,Printed prods.,0.5
323120,29,323121,Tradebinding and Related Work,Support activities for printing,Printed prods.,0.5
323120,34,323122,Prepress Services,Support activities for printing,Machinery,0.5
324110,17,324110,Petroleum Refineries,Petroleum refineries,Gasoline,1
324121,19,324121,Asphalt Paving Mixture and Block Manufacturing,Asphalt paving mixture and block manufacturing,Coal-n.e.c.,1
324122,31,324122,Asphalt Shingle and Coating Materials Manufacturing,Asphalt shingle and coating materials manufacturing,Nonmetal min. prods.,1
324190,19,324191,Petroleum Lubricating Oil and Grease Manufacturing,Other petroleum and coal products manufacturing,Coal-n.e.c.,1
324190,19,324199,All Other Petroleum and Coal Products Manufacturing,Other petroleum and coal products manufacturing,Coal-n.e.c.,1
325110,20,325110,Petrochemical Manufacturing,Petrochemical manufacturing,Basic chemicals,1
